Number of Insects,New Captures (per Event),Evento,Label,Date,Time,Avg Temperature,Avg Humidity,Min Temperature,Max Temperature
0.0,0,0,cicalino1,2024-07-06,06:01:00,22.3425,72.2475,13.6,30.6
0.0,0,0,cicalino1,2024-07-07,06:04:00,23.517916666666665,76.72875,18.7,30.2
0.0,0,0,cicalino1,2024-07-08,06:03:00,25.669166666666666,69.14375,18.3,33.9
0.0,0,1,cicalino1,2024-07-09,06:05:00,25.87,53.647083333333335,15.0,36.0
0.0,0,0,cicalino1,2024-07-10,06:03:00,26.41,58.94375,15.0,36.2
0.0,0,0,cicalino1,2024-07-11,06:01:00,26.2625,54.38625,15.9,35.9
0.0,0,0,cicalino1,2024-07-12,06:05:00,26.169583333333335,57.74541666666667,16.4,35.2
0.0,0,0,cicalino1,2024-07-13,06:02:00,25.491666666666664,69.13708333333334,18.2,34.2
1.0,1,0,cicalino1,2024-07-14,06:01:00,25.960416666666664,68.72875,16.9,35.9
1.0,0,0,cicalino1,2024-07-15,06:04:00,26.97583333333333,57.115833333333335,16.2,37.1
2.0,1,1,cicalino1,2024-07-16,06:03:00,26.463333333333335,55.91,15.9,36.3
1.0,1,0,cicalino1,2024-07-17,06:02:00,27.664583333333336,55.034166666666664,17.0,37.0
1.0,0,0,cicalino1,2024-07-18,06:01:00,27.054166666666664,52.11375,15.4,38.3
1.0,0,0,cicalino1,2024-07-19,06:04:00,27.71666666666667,54.53666666666667,17.6,37.4
1.0,0,1,cicalino1,2024-07-20,06:02:00,26.829583333333332,63.965,17.4,34.2
1.0,1,0,cicalino1,2024-07-21,06:02:00,26.60166666666667,67.94541666666667,17.6,37.1
2.0,1,0,cicalino1,2024-07-22,06:00:00,25.0725,73.41291666666666,19.4,34.6
0.0,0,0,cicalino1,2024-07-23,06:04:00,26.9375,66.83583333333333,17.9,35.8
0.0,0,0,cicalino1,2024-07-24,06:02:00,27.91625,62.30375,19.0,36.1
1.0,1,0,cicalino1,2024-07-25,06:01:00,28.338333333333335,58.562083333333334,20.1,36.6
1.0,0,0,cicalino1,2024-07-26,06:01:00,27.534166666666668,65.52083333333333,18.3,36.6
1.0,0,0,cicalino1,2024-07-27,06:05:00,27.459166666666665,63.673750000000005,17.9,37.8
3.0,1,1,cicalino1,2024-07-28,06:03:00,27.36125,57.69625,16.8,37.9
0.0,0,0,cicalino1,2024-07-29,06:04:00,28.60375,51.475,17.4,39.4
0.0,0,0,cicalino1,2024-07-30,06:02:00,30.701666666666668,45.10541666666666,21.7,39.9
0.0,0,0,cicalino1,2024-07-31,06:00:00,29.779583333333335,52.00625,19.5,39.3
0.0,0,0,cicalino1,2024-08-01,06:04:00,28.059583333333332,53.085,18.4,38.3
0.0,0,1,cicalino1,2024-08-02,06:03:00,27.50708333333333,70.19,19.2,37.2
0.0,0,1,cicalino1,2024-08-03,06:03:00,27.08458333333333,73.9975,20.7,38.3
0.0,0,0,cicalino1,2024-08-04,06:04:00,27.015,66.25541666666666,18.4,36.5
0.0,0,0,cicalino1,2024-08-05,06:01:00,28.276666666666667,57.18875,19.1,36.9
1.0,1,0,cicalino1,2024-08-06,06:00:00,27.452916666666667,65.48458333333333,18.4,36.3
1.0,0,0,cicalino1,2024-08-07,06:04:00,26.965,64.51083333333334,17.8,36.9
1.0,0,0,cicalino1,2024-08-08,06:03:00,26.97583333333333,62.82791666666666,16.8,36.3
1.0,0,1,cicalino1,2024-08-09,06:01:00,28.131249999999998,63.40833333333333,18.7,37.2
0.0,0,0,cicalino1,2024-08-10,06:00:00,29.72875,50.943333333333335,19.9,40.1
0.0,0,0,cicalino1,2024-08-11,06:04:00,29.824166666666667,56.43875,20.5,40.0
0.0,0,0,cicalino1,2024-08-12,06:03:00,29.86708333333333,52.525,21.0,39.2
0.0,0,0,cicalino1,2024-08-13,06:03:00,28.991249999999997,49.2125,19.9,39.3
0.0,0,0,cicalino1,2024-08-14,06:01:00,28.039166666666663,63.81041666666667,19.5,37.3
0.0,0,1,cicalino1,2024-08-15,06:00:00,25.798333333333332,66.21666666666667,19.0,35.8
0.0,0,0,cicalino1,2024-08-16,06:00:00,27.37291666666667,61.594166666666666,19.7,37.0
0.0,0,0,cicalino1,2024-08-17,06:04:00,27.194166666666664,64.30499999999999,19.3,35.1
0.0,0,0,cicalino1,2024-08-18,06:03:00,23.343333333333334,83.12708333333333,19.2,33.8
0.0,0,0,cicalino1,2024-08-19,06:02:00,23.02208333333333,76.18333333333334,18.1,31.9
0.0,0,0,cicalino1,2024-08-20,06:00:00,24.29625,72.7275,16.8,33.2
0.0,0,1,cicalino1,2024-08-21,06:03:00,26.302916666666665,69.61874999999999,19.4,34.0
0.0,0,0,cicalino1,2024-08-22,06:04:00,26.743750000000002,64.07125,18.4,35.4
0.0,0,0,cicalino1,2024-08-23,06:03:00,19.611428571428572,87.61571428571428,18.3,21.3
